Date,Close/Last,Volume,Open,High,Low
8/5/22,479.2,282,501.1,518.5,473.6
8/4/22,500,372,491,502,470.6
8/3/22,493.2,362,521,521.3,483
8/2/22,521.2,227,541,541,520.4
8/1/22,534.2,351,529.8,545.2,514.1
7/29/22,527.1,307,534.6,535.1,523.1
7/28/22,536.7,371,555.2,559.2,531
7/27/22,555.2,201,549,561.6,542
7/26/22,556.6,374,565.3,574.5,531.2
7/25/22,572.2,280,583,583,554.3
7/22/22,585.3,256,617,617,576.2
7/21/22,623.2,243,623.8,630,599.4
7/20/22,631.6,127,648.1,648.5,623.1
7/19/22,646.3,147,642.1,648.7,628.2
7/18/22,640.8,176,655,659.9,626.2
7/15/22,648.8,187,642,650,618.1
7/14/22,646,277,660.6,664.2,634.3
7/13/22,683.3,121,670.2,695,670.2
7/12/22,679.3,125,677.7,700,671.5
7/11/22,696.8,199,690,707,658.1
7/8/22,707,323,730,749.5,693.4
7/7/22,725.9,404,686,735.4,686
7/6/22,686.5,217,644.7,689.1,624.4
7/5/22,648.4,234,658.7,674.1,620.7
7/1/22,669.7,324,631.6,686.3,627.5
6/30/22,637.3,389,593,643.4,587.5
6/29/22,594.4,299,581.2,602.2,580.2
6/28/22,581.2,270,586.3,597.5,576.8
6/27/22,583.5,111,581,592.3,574
6/24/22,581,191,594,598,581
6/23/22,587.3,233,590.6,604.2,567
6/22/22,591.5,216,604.5,607.4,585.2
6/21/22,610.1,422,591.8,630.1,591.2
6/17/22,581.1,250,574.5,591.8,566.6
6/16/22,569,211,560.1,578.9,556
6/15/22,563.5,378,546.7,568.4,530.8
6/14/22,538,217,519.3,552.7,518.5
6/13/22,528,191,549.6,554.6,517
6/10/22,555.9,155,555.8,564.5,550
6/9/22,568.3,177,570,582,558.1
6/8/22,573,267,591.4,592,566.1
6/7/22,596.8,211,601.1,610.9,585.4
6/6/22,600.3,162,634.7,634.7,589
6/3/22,623.3,296,605,630,595.6
6/2/22,598.5,331,600.8,624,594
6/1/22,608.6,420,644.8,644.8,604.5
5/31/22,653.5,270,698.8,699.2,649.8
5/27/22,695.1,263,698.7,715,670
5/26/22,683,238,670.9,690,659.1
5/25/22,651.8,166,659.5,665,647.8
5/24/22,660,153,644.5,672,636.3
5/23/22,651.9,193,670.1,675,640.6
5/20/22,667.3,153,675,690.5,655
